Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2024/02/21 17:58,UBS,6988,Citibank,8003,4327.43,USD,4327.43,USD,ACH,1
2024/03/15 07:20,UBS,5974,BNP,7573,1819.54,USD,1819.54,USD,ACH,0
2024/01/10 09:51,Chase,4103,HSBC,4585,10845.28,USD,10845.28,USD,Bitcoin,0
2024/03/07 17:00,Wells,1763,Chase,7129,10924.67,EUR,10924.67,EUR,Credit Card,0
2024/03/22 04:51,UBS,2717,Wells,1055,50.0,USD,50.0,USD,ACH,0
2024/03/16 12:47,Chase,5473,Citibank,4622,7779.68,GBP,7779.68,GBP,ACH,0
2024/03/04 19:49,BNP,3002,Barclays,3463,4272.51,USD,4272.51,USD,Bitcoin,0
2024/02/12 22:42,Wells,4567,HSBC,9832,2653.77,USD,2653.77,USD,Credit Card,0
2024/03/19 05:51,HSBC,9497,UBS,4576,1852.11,USD,1852.11,USD,Bitcoin,0
2024/01/05 15:04,Deutsche,4563,HSBC,3558,11292.53,USD,11292.53,USD,Cheque,0
2024/01/12 06:31,Citibank,9385,Chase,6009,50.0,GBP,50.0,GBP,Wire,0
2024/01/19 20:03,BNP,8482,Wells,2241,4631.97,USD,4631.97,USD,Wire,0
2024/03/22 06:21,Chase,2301,Deutsche,9389,4026.21,USD,4026.21,USD,ACH,0
2024/03/26 02:51,UBS,5009,BNP,9965,9023.35,GBP,9023.35,GBP,ACH,0
2024/01/15 19:25,Wells,2791,Chase,2388,50.0,USD,50.0,USD,Wire,0
2024/03/30 14:21,Barclays,6057,Deutsche,8162,1275.79,USD,1275.79,USD,Wire,0
2024/01/12 10:26,Barclays,8607,UBS,4277,8442.13,USD,8442.13,USD,ACH,0
2024/03/18 14:27,Citibank,3475,Deutsche,7172,4436.02,USD,4436.02,USD,Cheque,0
2024/03/26 20:19,Citibank,5936,Citibank,6665,3396.59,USD,3396.59,USD,ACH,0
2024/02/21 21:44,Citibank,6433,Citibank,8003,5862.93,USD,5862.93,USD,ACH,1
2024/03/18 12:36,Deutsche,3741,Deutsche,8791,50.0,USD,50.0,USD,ACH,0
2024/02/11 12:46,Barclays,6741,HSBC,1417,2641.14,USD,2641.14,USD,ACH,0
2024/02/28 06:45,Chase,9001,Wells,3327,5107.28,USD,5107.28,USD,Credit Card,1
2024/01/10 15:26,Chase,3546,BNP,5093,6061.25,EUR,6061.25,EUR,Wire,0
2024/01/20 08:05,Deutsche,7006,Wells,7007,10492.11,USD,10492.11,USD,Wire,1
2024/03/08 07:51,Citibank,6306,UBS,3470,3084.27,USD,3084.27,USD,ACH,0
2024/02/29 00:42,BNP,8644,BNP,5087,3090.29,EUR,3090.29,EUR,ACH,0
2024/02/10 09:33,Barclays,6946,Barclays,7840,7530.03,USD,7530.03,USD,ACH,0
2024/02/01 01:35,Wells,3139,Chase,4911,12615.45,USD,12615.45,USD,Wire,0
2024/02/26 17:25,Barclays,5914,Deutsche,1773,1187.14,USD,1187.14,USD,Cheque,0
2024/03/28 07:09,UBS,5658,BNP,2028,7763.99,GBP,7763.99,GBP,ACH,0
2024/01/24 05:08,BNP,6901,Deutsche,1314,4690.13,USD,4690.13,USD,Cheque,0
2024/02/05 21:51,HSBC,4589,UBS,7982,4481.2,USD,4481.2,USD,ACH,0
2024/01/28 18:11,HSBC,5603,BNP,6969,4295.6,USD,4295.6,USD,Bitcoin,0
2024/03/31 22:43,UBS,7845,Barclays,2884,5466.39,EUR,5466.39,EUR,Wire,0
2024/03/22 15:41,Citibank,6361,Wells,4413,1740.39,USD,1740.39,USD,Wire,0
2024/03/26 06:16,Chase,6037,Deutsche,6883,10154.71,USD,10154.71,USD,Wire,0
2024/01/10 00:33,Chase,3916,Barclays,3713,6610.45,USD,6610.45,USD,Cheque,0
2024/03/31 06:36,UBS,9871,BNP,6745,3437.8,USD,3437.8,USD,Wire,0
2024/01/10 06:32,HSBC,4175,Citibank,7673,2352.26,USD,2352.26,USD,Cheque,0
2024/03/02 02:47,Deutsche,8757,Chase,3548,7670.08,USD,7670.08,USD,Cheque,0
2024/01/22 01:02,Wells,7007,BNP,7004,49881.39,USD,49881.39,USD,Wire,1
2024/01/16 13:53,Wells,4623,Barclays,3899,11134.47,USD,11134.47,USD,Cheque,0
2024/02/15 21:20,UBS,8234,HSBC,7712,1361.33,USD,1361.33,USD,Wire,0
2024/03/29 16:06,BNP,3642,Deutsche,3764,5016.62,USD,5016.62,USD,ACH,0
2024/01/12 17:47,HSBC,7446,BNP,7076,2115.3,USD,2115.3,USD,Cheque,0
2024/03/26 11:47,BNP,5978,HSBC,3966,2833.63,USD,2833.63,USD,Cheque,0
2024/01/18 05:51,Deutsche,8708,HSBC,6141,12343.41,USD,12343.41,USD,ACH,0
2024/02/07 10:52,UBS,1719,UBS,2546,8285.46,EUR,8285.46,EUR,Wire,0
2024/03/16 22:59,Deutsche,4953,Wells,1394,6149.51,USD,6149.51,USD,Wire,0
2024/02/17 08:40,BNP,2876,Wells,4334,50.0,GBP,50.0,GBP,Cheque,0
2024/01/25 07:08,Chase,4080,Wells,8355,4064.76,USD,4064.76,USD,ACH,0
2024/03/02 22:01,BNP,4818,HSBC,4072,4391.69,USD,4391.69,USD,Cheque,0
2024/03/08 13:12,Wells,1449,BNP,5981,9237.82,USD,9237.82,USD,Wire,0
2024/03/21 17:57,Wells,5056,Deutsche,8123,10117.82,USD,10117.82,USD,ACH,0
2024/01/12 06:03,Wells,5828,Barclays,4716,809.38,USD,809.38,USD,Cheque,0
2024/02/21 01:42,Chase,5403,Chase,6984,4909.93,USD,4909.93,USD,Wire,0
2024/03/26 04:35,BNP,1538,Citibank,2432,6644.26,USD,6644.26,USD,Bitcoin,0
2024/01/11 19:41,Deutsche,4794,Chase,1151,9842.74,USD,9842.74,USD,Cheque,0
2024/01/09 02:04,HSBC,9388,Citibank,7988,50.0,USD,50.0,USD,Bitcoin,0
2024/03/18 10:19,BNP,2116,Deutsche,8895,3006.99,EUR,3006.99,EUR,Wire,0
2024/03/07 21:30,Deutsche,1659,Citibank,4294,6136.63,GBP,6136.63,GBP,Cheque,0
2024/03/31 00:20,Barclays,9237,Chase,6508,5668.7,USD,5668.7,USD,Wire,0
2024/01/30 03:52,Chase,6873,HSBC,3029,1003.56,USD,1003.56,USD,Wire,0
2024/02/23 08:41,HSBC,9002,Citibank,1904,14071.04,USD,14071.04,USD,Credit Card,1
2024/02/20 14:30,BNP,4324,Citibank,8003,2814.32,USD,2814.32,USD,Cash,1
2024/03/26 04:23,Citibank,3922,BNP,4868,9578.91,GBP,9578.91,GBP,Credit Card,0
2024/02/08 16:08,HSBC,6892,Deutsche,8728,5354.03,EUR,5354.03,EUR,Cheque,0
2024/02/10 09:08,Citibank,3960,Deutsche,8584,4996.49,USD,4996.49,USD,Wire,0
2024/01/07 23:30,HSBC,7781,Chase,9404,9371.81,USD,9371.81,USD,Cash,0
2024/01/08 13:50,Citibank,8168,UBS,6906,5616.98,USD,5616.98,USD,Wire,0
2024/02/20 16:20,Chase,5485,HSBC,3376,10984.24,EUR,10984.24,EUR,ACH,0
2024/01/25 15:42,Chase,1127,Barclays,6604,7054.86,USD,7054.86,USD,Cheque,0
2024/03/12 22:57,Citibank,4308,HSBC,3333,4091.22,USD,4091.22,USD,Wire,0
2024/02/03 21:44,Citibank,8904,HSBC,8502,6983.83,USD,6983.83,USD,Wire,0
2024/01/23 01:34,Deutsche,3317,Citibank,6935,5403.86,USD,5403.86,USD,ACH,0
2024/01/16 15:58,Barclays,5667,HSBC,1694,967.08,USD,967.08,USD,ACH,0
2024/03/17 08:49,HSBC,6402,Barclays,4632,5448.45,USD,5448.45,USD,Wire,0
2024/01/01 10:21,Wells,1730,Wells,8578,3305.59,USD,3305.59,USD,ACH,0
2024/03/02 14:38,UBS,1044,Barclays,8001,7901.93,USD,7901.93,USD,ACH,1
2024/01/23 00:19,Barclays,1235,Chase,6021,5444.67,USD,5444.67,USD,ACH,0
2024/03/30 21:42,Citibank,9656,Wells,2605,719.92,USD,719.92,USD,Cheque,0
2024/01/20 13:14,BNP,8393,Deutsche,3206,1292.76,USD,1292.76,USD,Wire,0
2024/02/22 06:06,BNP,4659,Deutsche,7911,1576.35,USD,1576.35,USD,ACH,0
2024/03/15 11:03,Deutsche,4446,Wells,6390,61.3,USD,61.3,USD,Cheque,0
2024/02/21 10:07,Chase,1557,Chase,7519,5387.13,USD,5387.13,USD,Wire,0
2024/02/13 06:37,UBS,1876,Barclays,8756,8464.66,USD,8464.66,USD,Cheque,0
2024/01/24 01:59,Citibank,7411,Deutsche,3716,6674.35,USD,6674.35,USD,Wire,0
2024/01/05 07:46,BNP,1063,HSBC,1160,6594.76,USD,6594.76,USD,Wire,0
2024/02/26 23:57,HSBC,8183,Chase,3909,3037.18,USD,3037.18,USD,Wire,0
2024/01/18 03:37,Wells,4936,Wells,8306,4297.14,USD,4297.14,USD,Cheque,0
2024/01/11 05:00,Deutsche,8740,Chase,3553,3785.43,USD,3785.43,USD,ACH,0
2024/02/18 04:30,HSBC,5480,Chase,2130,5982.8,USD,5982.8,USD,Wire,0
2024/01/21 23:31,Chase,7111,HSBC,4994,10926.03,USD,10926.03,USD,Credit Card,0
2024/02/25 05:58,Deutsche,6554,Barclays,8005,4802.11,USD,4802.11,USD,Cash,1
2024/02/01 08:56,Citibank,2595,Deutsche,8002,9268.82,USD,9268.82,USD,ACH,1
2024/02/23 13:30,Barclays,8519,Wells,1425,7814.0,EUR,7814.0,EUR,ACH,0
2024/02/03 20:30,HSBC,4563,Barclays,7492,4134.34,USD,4134.34,USD,Wire,0
2024/03/14 19:07,BNP,1746,BNP,7676,6986.44,USD,6986.44,USD,ACH,0
2024/01/24 07:40,Wells,7007,BNP,7004,13617.63,USD,13617.63,USD,Wire,1
2024/03/19 07:36,Deutsche,5330,Citibank,6168,6301.31,USD,6301.31,USD,ACH,0
2024/01/22 05:14,HSBC,6060,Deutsche,2514,5011.12,EUR,5011.12,EUR,ACH,0
2024/03/11 15:40,Barclays,9891,Citibank,9474,8861.51,USD,8861.51,USD,Wire,0
